zip_code,building_type, consumption_therms, consumption_gj,utility_data_source
11360,Residential,2617396,276150,ConEd
11361,Residential,290730,30674,ConEd
11361,Large Residential,446965,47157,ConEd
11361,Commercial,1616689,170570,ConEd
11361,Commercial,2049571,216241,ConEd
11361,Residential,4283479,451931,ConEd
11362,Small Residential,336,35,National Grid
11362,Large Residential,36526,3854,ConEd
11362,Residential,85444,9015,ConEd
11362,Commercial,647115,68274,ConEd
11362,Commercial,2594439,273728,ConEd
11362,Residential,2911498,307179,ConEd
11363,Large Residential,40443,4267,ConEd
11363,Residential,54273,5726,ConEd
11363,Commercial,151243,15957,ConEd
11363,Commercial,538595,56825,ConEd
11363,Residential,1706804,180077,ConEd
11364,Small Residential,1463,154,National Grid
11364,Residential,269069,28388,ConEd
11364,Commercial,768785,81111,ConEd
11364,Large Residential,1201058,126718,ConEd
11364,Commercial,3008945,317461,ConEd
11364,Residential,4453633,469883,ConEd
11365,Commercial,963,102,National Grid
11365,Small Residential,3378,356,National Grid
11365,Large Residential,4277,451,National Grid
11365,Large Residential,57283,6044,ConEd
11365,Residential,222234,23447,ConEd
11365,Commercial,1336553,141014,ConEd
11365,Residential,4511563,475995,ConEd
11365,Commercial,5329748,562318,ConEd
11366,Commercial,4025,425,ConEd
11366,Small Residential,6521,688,National Grid
11366,Residential,154642,16316,ConEd
11366,Commercial,636236,67126,ConEd
11366,Commercial,1151855,121527,ConEd
11366,Residential,2205608,232704,ConEd
11367,Small Residential,1753,185,National Grid
11367,Residential,321417,33911,ConEd
11367,Commercial,970445,102387,ConEd
11367,Large Residential,1724999,181997,ConEd
11367,Residential,2905831,306581,ConEd
11367,Commercial,6820750,719627,ConEd
11368,Commercial,978,103,ConEd
11368,Industrial,508926,53695,National Grid
11368,Institutional,1001098,105621,National Grid
11368,Commercial,4130867,435830,National Grid
11368,Large Residential,6347326,669678,National Grid
11368,Small Residential,11110386,1172208,National Grid
11369,Industrial,8824,931,National Grid
11369,Institutional,168544,17782,National Grid
11369,Large Residential,1688743,178172,National Grid
11369,Commercial,1994597,210441,National Grid
11369,Small Residential,5658707,597025,National Grid
11370,Residential,1414,149,ConEd
11370,Residential,24585,2594,ConEd
11370,Commercial,29295,3091,ConEd
11370,Industrial,37449,3951,National Grid
11370,Commercial,84349,8899,ConEd
11370,Large Residential,1074379,113353,National Grid
11370,Commercial,1119225,118085,National Grid
11370,Institutional,1231730,129954,National Grid
11370,Small Residential,5080675,536040,National Grid
11371,Industrial,1707,180,National Grid
11371,Institutional,1065320,112397,National Grid
11371,Commercial,1381802,145788,National Grid
11372,Industrial,48106,5075,National Grid
11372,Institutional,367432,38766,National Grid
11372,Commercial,3234761,341285,National Grid
11372,Small Residential,3273710,345395,National Grid
11372,Large Residential,14227014,1501030,National Grid
11373,Residential,5089,537,ConEd
11373,Industrial,159820,16862,National Grid
11373,Institutional,2030783,214259,National Grid
11373,Commercial,3054489,322266,National Grid
11373,Large Residential,9562956,1008945,National Grid
11373,Small Residential,10736218,1132731,National Grid
11374,Industrial,3834,405,National Grid
11374,Institutional,328460,34654,National Grid
11374,Commercial,1938527,204525,National Grid
11374,Small Residential,3149947,332337,National Grid
11374,Large Residential,9176417,968163,National Grid
11375,Institutional,283731,29935,National Grid
11375,Industrial,483373,50999,National Grid
11375,Commercial,2724624,287463,National Grid
11375,Small Residential,7403805,781143,National Grid
11375,Large Residential,15937171,1681461,National Grid
11377,Residential,74199,7828,ConEd
11377,Large Residential,91130,9615,ConEd
11377,Commercial,311084,32821,ConEd
11377,Commercial,358163,37788,ConEd
11377,Residential,366911,38711,ConEd
11377,Industrial,705930,74480,National Grid
11377,Institutional,811937,85664,National Grid
11377,Commercial,3893626,410799,National Grid
11377,Small Residential,7978253,841750,National Grid
11377,Large Residential,9466158,998733,National Grid
11378,Large Residential,618419,65247,National Grid
11378,Industrial,2809327,296400,National Grid
11378,Institutional,3127131,329930,National Grid
11378,Commercial,3345377,352956,National Grid
11378,Small Residential,7366479,777205,National Grid
11379,Industrial,168135,17739,National Grid
11379,Institutional,337862,35646,National Grid
11379,Large Residential,659949,69628,National Grid
11379,Commercial,1248717,131747,National Grid
11379,Small Residential,6789947,716377,National Grid
11385,Industrial,1048061,110576,National Grid
11385,Institutional,1245917,131451,National Grid
11385,Commercial,3526058,372019,National Grid
11385,Large Residential,5367560,566308,National Grid
